category,model,stocks,avg_final_nav,avg_sharpe,avg_max_drawdown,avg_total_turnover
Range/Near-flat,Transaction-Cost-Aware R-PPO,2,1.1627452393333335,0.7846485016841187,-0.15210978656205415,3.766295440579494
Range/Near-flat,PPO (Daily),2,1.007472202333334,0.1378197919987059,-0.14817838931485655,17.491657482443088
Range/Near-flat,A2C (Daily),2,1.0554615125,0.4223290676579565,-0.13503491848952345,1.5131514199016936
Range/Near-flat,GARCH,2,0.9130676370000008,-2.7057960220791,-0.1011250189999992,
Range/Near-flat,Buy&Hold,2,1.0886642325000002,0.4325291120300526,-0.24498161356166198,
Upward,Transaction-Cost-Aware R-PPO,3,1.3170169381111114,1.2152880965559776,-0.13337784766173347,4.374535335607963
Upward,PPO (Daily),3,1.113909549555557,0.6757116627338505,-0.11402837468886788,27.422054590944253
Upward,A2C (Daily),3,1.1842221241111113,0.9974058647815491,-0.10040372863514542,2.8548040076030325
Upward,GARCH,3,1.0405679166666695,-0.30403998592198334,-0.1939736932339405,
Upward,Buy&Hold,3,1.4102581293333334,1.1258352957019018,-0.19454925844027096,
Weak/Downward,Transaction-Cost-Aware R-PPO,3,0.9970327905555557,0.11181945086819424,-0.2130108922338918,5.406912494896173
Weak/Downward,PPO (Daily),3,0.8826623186666679,-0.5982720031577093,-0.20475473832056465,27.339517810330523
Weak/Downward,A2C (Daily),3,0.9556043774444446,-0.17091618525472785,-0.16398413155799627,1.8300408103508534
Weak/Downward,GARCH,3,0.8483820263333351,-0.44790486094938436,-0.26550056840490527,
Weak/Downward,Buy&Hold,3,0.8841509463333335,-0.2058194917193513,-0.2977083247592187,
